,System Name,Instance Name,Entity Name,Attribute Name,Owner,Parent,Type,Description,URL,Document Name,XPATH
370,Visual Map,Default,ORDER CAPTURE,QUEUED BUYS,,,UI Field,,,,
371,Visual Map,Default,ORDER CAPTURE,INVESTMENT ORDERS,,,UI Field,,,,
372,Visual Map,Default,ORDER CAPTURE,CASH AVAILABLE TO INVEST,,,UI Field,Cash Available to Invest equals Total Cash Balance – Minimum – Uncleared minus Reserved ,,,
373,Visual Map,Default,ORDER CAPTURE,CASH REMAINING,,,UI Field,"By default, Cash Remaining equals Cash Available to Invest. Will be changing based on trading.",,,
374,Visual Map,Default,ORDER CAPTURE,PRODUCT ID,,,UI Field,This is the Product ID direct cash container for the account of the Badge of the account.  It is used to get the AAL for the account.,,,
375,Visual Map,Default,ORDER CAPTURE,ORDER PAD ASSET ID,,,UI Field,This is the list of assets MP & TD that can be bought by the account.,,,
376,Visual Map,Default,ORDER CAPTURE,OFFICE & DEALER IDS,,,UI Field,If there is no AAL for the adviser then the UI will try for each entity in the dealer/office/adviser hierarchy.  This service is called to determine the next entity up in the hierarchy.,,,
377,Visual Map,Default,ORDER CAPTURE,ASSET ID OF THE PORTFOLIO CONTAINER,,,UI Field,The service needs to identify the MP containers where the sum of the avl_qty  for the underlying assets is  0 to get the list of portfolios that can be sold.,,,
378,Visual Map,Default,ORDER CAPTURE,COMMON ASSET DETAILS ASSET TYPE,,,UI Field,The Current holdings option in the Asset Type filter is based on if the asset is in the list of assets to sell.,,,
379,Visual Map,Default,ORDER CAPTURE,MANAGED PORTFOLIO DETAILS ASSET CODE,,,UI Field,This service is called using the Asset ID from the List of Assets to Buy Or Sell.,,,
380,Visual Map,Default,ORDER CAPTURE,ASSET NAME,,,UI Field,See Asset Code.,,,
381,Visual Map,Default,ORDER CAPTURE,VALUE OF CURRENT HOLDING,,,UI Field,The value of the account's current holding in the Managed Portfolio.  This includes any pending transactions.,,,
382,Visual Map,Default,ORDER CAPTURE,PDS LINK,,,UI Field,Profile Link,,,
383,Visual Map,Default,ORDER CAPTURE,BRAND,,,UI Field,,,,
384,Visual Map,Default,ORDER CAPTURE,TERM TD ONLY,,,UI Field,Looked up using the • Asset ID from the Asset List Service; and• Dealer Group• Order amountThe UI will map the Avaloq code to the text on the screen ,,,
385,Visual Map,Default,ORDER CAPTURE,INTEREST RATE TD ONLY,,,UI Field,UI Is responsible for mapping the value to the text displayed on the screen.,,,
386,Visual Map,Default,ORDER CAPTURE,PAY INTEREST OPTION,,,UI Field,,,,
387,Visual Map,Default,ORDER CAPTURE,TERMS & CONDITIONS LINK,,,UI Field,,,,
388,Visual Map,Default,ORDER CAPTURE,INTEREST RATES LINK,,,UI Field,,,,
389,Visual Map,Default,ORDER CAPTURE,ORDER GROUP VETTING RESULT TYPE,,,UI Field,This indicates if the result is an error or warning.,,,
390,Visual Map,Default,ORDER CAPTURE,AVALOQ VETTING RESULT ID ,,,UI Field,The UI will map this to the UI Error message as per the IFS.,,,
391,Visual Map,Default,ORDER CAPTURE,ORDER GROUP VETTING RESULT MESSAGE,,,UI Field,This is looked up using the UI Error message code.,,,
392,Visual Map,Default,ORDER CAPTURE,ORDER TYPE,,,UI Field,,,,
393,Visual Map,Default,ORDER CAPTURE,ASSET ID,,,UI Field,As per the asset list above this need to be converted to the details displayed on the screen.,,,
394,Visual Map,Default,ORDER CAPTURE,ASSET TYPE,,,UI Field,Used for Grouping the orders.,,,
395,Visual Map,Default,ORDER CAPTURE,ASSET CODE,,,UI Field,This service is called using the Asset ID from the List of Assets to Buy Or Sell.,,,
396,Visual Map,Default,ORDER CAPTURE,ASSET NAME,,,UI Field,See Asset Code,,,
397,Visual Map,Default,ORDER CAPTURE,CURRENT HOLDINGS ,,,UI Field,,,,
398,Visual Map,Default,ORDER CAPTURE,AMOUNT TYPE,,,UI Field,Indicates if this is a Sell All or not.,,,
399,Visual Map,Default,ORDER CAPTURE,ORDER AMOUNT $,,,UI Field,The dollar amount that the account is buy/selling.,,,
400,Visual Map,Default,ORDER CAPTURE,ORDER VALUE $,,,UI Field,,,,
401,Visual Map,Default,ORDER CAPTURE,PAY INTEREST TD ONLY,,,UI Field,,,,
402,Visual Map,Default,ORDER CAPTURE,ORDER,,,UI Field,This field determines which order the warning/error is for.,,,
403,Visual Map,Default,ORDER CAPTURE,INTEREST RATE TD ONLY,,,UI Field,,,,
404,Visual Map,Default,ORDER CAPTURE,VETTING RESULT TYPE,,,UI Field,This indicates if the result is an error or warning.,,,
405,Visual Map,Default,ORDER CAPTURE,AVALOQ VETTING RESULT ID ,,,UI Field,The UI will map this to the UI Error message as per the IFS.,,,
406,Visual Map,Default,ORDER CAPTURE,VETTING RESULT MESSAGE,,,UI Field,,,,
407,Visual Map,Default,ORDER CAPTURE,ORDER GROUP ID,,,UI Field,The Unique ID that Avaloq has assigned to the saved order group.,,,
408,Visual Map,Default,ORDER CAPTURE,REFERENCE,,,UI Field,The reference that the user has entered for this order.,,,
409,Visual Map,Default,ORDER CAPTURE,LAST SAVED DATE TIME,,,UI Field,The date and time that Avaloq successfully last saved the group order. ,,,
410,Visual Map,Default,ORDER CAPTURE,TOTAL SELLS,,,UI Field,The value of all Sells in the Order List,,,
411,Visual Map,Default,ORDER CAPTURE,TOTAL BUYS,,,UI Field,The value of all Buys in the Order List,,,
412,Visual Map,Default,ORDER CAPTURE,NET CASH MOVEMENT,,,UI Field,The net value of All orders in the Order List,,,
413,Visual Map,Default,ORDER CAPTURE,ORDER GROUP ID,,,UI Field,The Unique ID that Avaloq has assigned to the saved order group.,,,
414,Visual Map,Default,ORDER CAPTURE,REFERENCE,,,UI Field,The reference that the user has entered for this order.,,,
415,Visual Map,Default,ORDER CAPTURE,DIRECT CONTAINER ID ,,,UI Field,This is the ID of the container that that funds will be sourced from for the order.  It is expected to be the direct aka cash container for the account.,,,
416,Visual Map,Default,ORDER CAPTURE,ADVISER ID,,,UI Field,The Adviser ID that owns the account.,,,
417,Visual Map,Default,ORDER CAPTURE,ORDER TYPE,,,UI Field,,,,
418,Visual Map,Default,ORDER CAPTURE,ASSET TYPE ,,,UI Field,Based on the Asset displayed wireframe ID #5,,,
419,Visual Map,Default,ORDER CAPTURE,ASSET ID ,,,UI Field,Based on the Asset displayed wireframe ID #5,,,
420,Visual Map,Default,ORDER CAPTURE,SOURCED FROM PORTFOLIO VALUATION,,,UI Field,When an MP is already held this will be the Container ID that it is held in.  If not this will be the ID of the Direct Container.,,,
421,Visual Map,Default,ORDER CAPTURE, AMOUNT TYPE,,,UI Field,,,,
422,Visual Map,Default,ORDER CAPTURE,ORDER AMOUNT $,,,UI Field,The dollar amount that the account is buy/selling.,,,
423,Visual Map,Default,ORDER CAPTURE,DATE SUBMITTED ,,,UI Field,The date and time that Avaloq successfully processed the submission of the order group. ,,,
424,Visual Map,Default,ORDER CAPTURE,ORDER ID PER ORDER,,,UI Field,This is the Avaloq ID that is assigned to the order for this specific asset.,,,
425,Visual Map,Default,ORDER CAPTURE,TOTAL,,,UI Field,,,,
426,IFS,Default,AVAILABLE CASH,,,,Interface,The UI needs to display the amount of cash that is available to buy assets with,http://sharepoint.btfin.com/sites/trans/tech/architecture/Solution%20Design/Investment%20Platform/Web%20UI%20To%20Avaloq%20Integration/IFS/Available%20Cash%20-%20Web%20UI%20-%20Avaloq%20-%20IFS.docx,,
427,IFS,Default,AVAILABLE CASH,CASH BALANCE,,,Attribute,Total Cash balance,,,
428,IFS,Default,AVAILABLE CASH,AVAILABLE CASH,,,Attribute,Available Cash ,,,
429,IFS,Default,AVAILABLE CASH,QUEUED BUYS,,,Attribute,Value of queued applications,,,
430,IFS,Default,AVAILABLE CASH,PENDING SELLS,,,Attribute,Value of pending redemptions,,,
431,IFS,Default,AVAILABLE CASH,PENDING BUYS,,,Attribute,Value of pending applications,,,
432,IFS,Default,BP DETAILS IFS,,,,Interface,"This interface returns information of one or more accounts (BP). It is used specially for address book and registered accounts. Other interfaces may use this interface to lookup BP details. The interface is extended to get the details for associated persons to the BP (contact details, tax options, linked accounts, beneficiary details).","http://sharepoint.btfin.com/sites/trans/tech/architecture/Solution%20Design/Investment%20Platform/Web%20UI%20To%20Avaloq%20Integration/IFS/BP%20Details-Web%20UI%20-%20Avaloq%20-%20IFS%20-%20Version_1.8.docx
",,
433,IFS,Default,TERM DEPOSITS,INTEREST RATE CARD,,,Attribute,"The BP code of the issuer of the Term Deposit.In Avaloq, an issuer is a business partner bp. ",,,
434,IFS,Default,TERM DEPOSITS,INTEREST RATE CARD/ISSUER ID,,,Attribute,The name of the issuer of the Term Deposit.,,,
435,IFS,Default,TERM DEPOSITS,INTEREST RATE CARD/ASSET ID,,,Attribute,Avaloq unique ID code for the Term Deposit that the IRC is for,,,
436,IFS,Default,TERM DEPOSITS,INTEREST RATE CARD/IRC ID,,,Attribute,The unique ID that Avaloq has assigned to the Interest Rate Card.  ,,,
437,IFS,Default,TERM DEPOSITS,INTEREST RATE CARD/TERM,,,Attribute,The duration that the Term Deposit will be held for.,,,
438,IFS,Default,TERM DEPOSITS,INTEREST RATE CARD/INTEREST PAYMENT FREQUENCY,,,Attribute,The interest payment frequency option for the asset.,,,
439,IFS,Default,TERM DEPOSITS,INTEREST RATE CARD/INTEREST RATE,,,Attribute,The interest rate that will be applied.,,,
440,IFS,Default,TERM DEPOSITS,INTEREST RATE CARD/PRINCIPAL LOWER LIMIT,,,Attribute,This defines the lower limit for investing using this IRC.,,,
441,IFS,Default,TERM DEPOSITS,INTEREST RATE CARD/PRINCIPAL UPPER LIMIT,,,Attribute,This defines the upper limit for investing using this IRC.,,,
442,IFS,Default,TERM DEPOSITS,INTEREST RATE CARD/PRIORITY,,,Attribute,When an account has access to multiple IRCs for the asset and investment amount then the IRC with this highest priority will the be one which is applied.,,,
443,IFS,Default,TERM DEPOSITS,INTEREST RATE CARD/IS SPECIAL,,,Attribute,This indicates if the IRC is a special IRC setup for one or more dealer groups.,,,
444,IFS,Default,TERM DEPOSITS,DEALER GROUP,,,Attribute,This defines if this IRC is only available to certain dealer groups.  ,,,
445,IFS,Default,TERM DEPOSITS,DEALER GROUP/DEALER GROUP ID,,,Attribute,This is the ID of the dealer group that has access to the IRC.  ,,,
446,IFS,Default,TERM DEPOSITS,DEALER GROUP/START OF PERIOD,,,Attribute,This is the date that the dealer group has access to this IRC from.,,,
447,IFS,Default,TERM DEPOSITS,DEALER GROUP/END OF PERIOD,,,Attribute,This is the date that the dealer group stops having access to the IRC.,,,
448,IFS,Default,BP FEE SCHEDULE,,,,Interface,"This interface returns the fee schedule for the client. It will return Ongoing Advice Fee, Licensee Fee and  Administration Fee details. Investment Management Fees for the client will be returned via another reporting service. ","
http://sharepoint.btfin.com/sites/trans/tech/architecture/Solution%20Design/Investment%20Platform/Web%20UI%20To%20Avaloq%20Integration/IFS/BP%20Fee%20Schedule%20-%20Web%20UI%20-%20Avaloq%20IFS%20-%20Version_0.1.docx
",,
449,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST,,,Attribute,A list of instruments,,,
450,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/ASSET_NAME,,,Attribute,Name of an instrument,,,
451,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/BRAND_OR_PROVIDER,,,Attribute,Issuer of an instrument,,,
452,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/FUND MANAGER,,,Attribute,Name of the fund manager for the particular asset,,,
453,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/AVALOQ ASSET_GROUP,,,Attribute,This is an Avaloq classification of an instrument.,,,
454,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/ASSET CLUSTER,,,Attribute,This is a classification of an instrument into the following categories for fee processes.1. Cash2. Term Deposit3. Listed Security3.4. International Listed Security5. Managed Fund6. Managed Portfolio4.7. Direct Property5.8.  Other,,,
455,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/ASSET_CLASS,,,Attribute,This is the asset class classification of an instrument.1. Cash2. Australian Shares3. International Shares4. Australian Fixed Interest5. International Fixed Interest6. Australian Real Estate7. International Real Estate8. Diversified9. Alternatives10. Other,,,
456,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/GICS_SECTOR,,,Attribute,This is the GICS sector of an instrument based on GICS classification,,,
457,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/GICS_INDUSTRY_TYPE,,,Attribute,This is the GICS industry group of an instrument based on GICS classification,,,
458,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/MONEY ACCOUNT TYPE,,,Attribute,Avaloq money account type of an asset,,,
459,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/TERM OF A TERM DEPOSIT.,,,Attribute,Term of a term deposit.This data element is only applicable for generic term deposits and accountspecific term deposits. This field is not applicable for assets which are not term deposits.,,,
460,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/ASSET_CODE,,,Attribute,"Where the asset is an instrument in the financial market, this is the standard identifier for the instrument in the financial market.",,,
461,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/MATURITY_DATE,,,Attribute,Maturity date of a term deposit,,,
462,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/INTEREST_RATE,,,Attribute,Interest rate of a term deposit,,,
463,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/GENERIC ASSET ID ,,,Attribute,"Generic asset id is only applicable for accountspecific term deposit assets. That is to say, the generic asset id is not available when the asset is not an accountspecific term deposit asset.The generic asset id is the asset id of a generic term deposit asset from which the current accountspecific term deposit asset originates.",,,
464,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/ISIN,,,Attribute,The ISIN code.  Required to access 3rd party information and market data.,,,
465,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/ESTIMATED PRICE,,,Attribute,Estimated Price,,,
466,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/STATUS,,,Attribute,Status,,,
467,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/DISTRIBUTION METHOD,,,Attribute,Distribution Method,,,
468,IFS,Default,ASSET LIST,FINANCIAL INSTRUMENT LIST/ISSUER NAME OF AN INSTRUMENT,,,Attribute,"Issuer name of an instrument.In Avaloq, an issuer is a business partner.",,,
469,IFS,Default,CGT REALISED,,,,Interface,,http://sharepoint.btfin.com/sites/trans/tech/architecture/Solution%20Design/Investment%20Platform/Web%20UI%20To%20Avaloq%20Integration/IFS/CGT%20Realised%20-%20Web%20UI%20-%20Avaloq%20-%20IFS%20-%20Version%200.3.docx,,
470,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST,,,Attribute,A list of Persons,,,
471,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/PERSON_HEAD/PERSON_ID,,,Attribute,Person ID,,,
472,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/AP_LVL1/ PERSON_ID,,,Attribute,Associated persons IDs in case of legal person  SMSF/Trust Individual/Company,,,
473,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/AP_LVL2/ PERSON_ID,,,Attribute,Associated persons IDs in case of legal person  SMSF corporate/Trust corporate,,,
474,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/GCM ID ,,,Attribute,GCM ID of the person,,,
475,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/PERSON TYPE ID ,,,Attribute,Person Type ,,,
476,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/LEGAL FORM ID,,,Attribute,Legal form ,,,
477,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/TITLE ID ,,,Attribute,Title Only for natural persons,,,
478,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/FIRST NAME ,,,Attribute,First name  Only for natural persons,,,
479,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/LAST NAME ,,,Attribute,Last name   Only for natural persons,,,
480,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/FULL NAME ,,,Attribute,Full name  for both natural/legal persons,,,
481,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/BIRTH DATE ,,,Attribute,Date of birth  Only for natural persons,,,
482,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/IS REGISTERED ONLINE ,,,Attribute,Flag indicating whether the person has registered online or not  Only for natural persons,,,
483,IFS,Default,CLIENT LIST RELATED SERVICES,AP_LVL1/ASSOC_ROLE_ID ,,,Attribute,Associated persons for Trust Individual/SMSF individual/Company  Only for legal persons,,,
484,IFS,Default,CLIENT LIST RELATED SERVICES,AP_LVL2/ ASSOC_ROLE_ID,,,Attribute,Trust Corporate/SMSF corporate  Only for legal persons,,,
485,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/ASIC NAME ,,,Attribute,Australian Securities and Investments Commission ASIC name  Only for Trust/Company,,,
486,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/IDV STATUS ID,,,Attribute,The identification verification status of the investor,,,
487,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/PREFERRED TELEPHONE ADDRESS,,,Attribute,Preferred telephonic number of the investor,,,
488,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/COUNTRY ID ,,,Attribute,Country of the person,,,
489,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/SUBURB,,,Attribute,Suburbcity of the person,,,
490,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/STATE ID ,,,Attribute,State of the person for  Australian addresses,,,
491,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/STATE OTHER,,,Attribute,State/Region/Canton of the person for  International addresses,,,
492,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/ZIP,,,Attribute,ZIP code of the person,,,
493,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/CLOSE DATE,,,Attribute,Only set if the Person is closed,,,
494,IFS,Default,CLIENT LIST RELATED SERVICES,PERSONS LIST/CIS KEY,,,Attribute,Unique key used as universal customer identifier for global customer master,,,
495,IFS,Default,CLIENT LIST RELATED SERVICES,BUSINESS PARTNERS LIST,,,Attribute,A list of Business Partners,,,
496,IFS,Default,CLIENT LIST RELATED SERVICES,BUSINESS PARTNERS LIST/BP NAME,,,Attribute,Account Name,,,
497,IFS,Default,CLIENT LIST RELATED SERVICES,BUSINESS PARTNERS LIST/BP KEY  NUMBER,,,Attribute,Account Number,,,
498,IFS,Default,CLIENT LIST RELATED SERVICES,BUSINESS PARTNERS LIST/BP ACCOUNT STRUCTURE TYPE ,,,Attribute,Account structure type Individual/Joint/Company/SMSF/Trust,,,
499,IFS,Default,CLIENT LIST RELATED SERVICES,BUSINESS PARTNERS LIST/BP PRODUCT ID,,,Attribute,White label Product associated with the account,,,
500,IFS,Default,CLIENT LIST RELATED SERVICES,BUSINESS PARTNERS LIST/BP ACCOUNT STATUS ID,,,Attribute,Account status,,,
501,IFS,Default,CLIENT LIST RELATED SERVICES,BUSINESS PARTNERS LIST/BP OPEN STATUS,,,Attribute,Flag indicating whether the account is active or not,,,
502,IFS,Default,CLIENT LIST RELATED SERVICES,BUSINESS PARTNERS LIST/BP ADVISER OE ID,,,Attribute,Adviser OE person linked to the account,,,
503,IFS,Default,CLIENT LIST RELATED SERVICES,BUSINESS PARTNERS LIST/BP ADVISER PERSON ID,,,Attribute,Adviser person linked to the account,,,
504,IFS,Default,CLIENT LIST RELATED SERVICES,BUSINESS PARTNERS LIST/FLAG FOR LICENSEE ADVICE FEE,,,Attribute,Flag indicating whether the account was ever charged a licensee advice fee,,,
505,IFS,Default,CLIENT LIST RELATED SERVICES,BUSINESS PARTNERS LIST/BP ADVISER PERMISSION,,,Attribute,Adviser permissions on the account,,,
506,IFS,Default,CLIENT LIST RELATED SERVICES,BUSINESS PARTNERS LIST/CONTAINER ID,,,Attribute,Container linked to the account,,,
507,IFS,Default,CLIENT LIST RELATED SERVICES,BUSINESS PARTNERS LIST/ACCOUNT OWNER ID,,,Attribute,Account owner,,,
508,IFS,Default,CLIENT LIST RELATED SERVICES,BUSINESS PARTNERS LIST/AUTHORITY ROLE ID,,,Attribute,Authority role of the associated person,,,
509,IFS,Default,CLIENT LIST RELATED SERVICES,BP DOCUMENT LIST,,,Attribute,,,,
510,IFS,Default,CLIENT LIST RELATED SERVICES,BP DOCUMENT LIST/DOCUMENT ID,,,Attribute,ID of the document in Avaloq ,,,
511,IFS,Default,CLIENT LIST RELATED SERVICES,BP DOCUMENT LIST/FLAG FOR INDICATING IF T&C DOCUMENT SHOULD BE ACCEPTED,,,Attribute,This is set to true if the document is suppose to accept the T&C and this is a T&C documents there may be other kinds of documents in the list,,,
512,IFS,Default,CLIENT LIST RELATED SERVICES,BP DOCUMENT LIST/DATE WHEN DOCUMENT WAS ACCEPTED,,,Attribute,Date when document  was accepted ,,,
513,IFS,Default,CLIENT LIST RELATED SERVICES,BP DOCUMENT LIST/PERSON ID OF THE ACCOUNT APPROVER,,,Attribute,Person ID of the account approvers,,,
514,IFS,Default,CLIENT LIST RELATED SERVICES,CONTAINERS LIST,,,Attribute,A list of Containers,,,
515,IFS,Default,CLIENT LIST RELATED SERVICES,CONTAINERS LIST/BP ID ,,,Attribute,Business Partner the Container is linked to,,,
516,IFS,Default,CLIENT LIST RELATED SERVICES,CONTAINERS LIST/CONTAINER,,,Attribute,Container ID,,,
517,IFS,Default,CLIENT LIST RELATED SERVICES,CONTAINERS LIST/CONTAINER TYPE ID,,,Attribute,Container TypeBT Direct/Managed Portfolio etc,,,
518,IFS,Default,CLIENT LIST RELATED SERVICES,CONTAINERS LIST/IPS ID,,,Attribute,IPS ID linked to the container,,,
519,IFS,Default,CLIENT LIST RELATED SERVICES,CONTAINERS LIST/PRODUCT ID,,,Attribute,Product ID linked to the container ,,,
520,IFS,Default,CLIENT LIST RELATED SERVICES,BP LIST,,,Attribute,A list of BPs,,,
521,IFS,Default,CLIENT LIST RELATED SERVICES,BP LIST/BUSINESS PARTNER ID,,,Attribute,Business partner ID of the account for which balances are fetched,,,
522,IFS,Default,CLIENT LIST RELATED SERVICES,BP LIST/AVAILABLE CASH,,,Attribute,Current Available cash for a particular BP,,,
523,IFS,Default,CLIENT LIST RELATED SERVICES,BP LIST/PORTFOLIO VALUE,,,Attribute,Current Portfolio Value for a particular BP,,,
524,IFS,Default,ORDER GROUP,ORDER GROUP,,,Attribute,,,,
525,IFS,Default,ORDER GROUP,ORDER GROUP/DOCUMENT ID,,,Attribute,This is avaloq’s ID that uniquely identifies the group.,,,
526,IFS,Default,ORDER GROUP,ORDER GROUP/MEDIUM ID,,,Attribute,This identifies which system created the order.,,,
527,IFS,Default,ORDER GROUP,ORDER GROUP/CONTAINER ID,,,Attribute,This is the ID of the container that that funds will be sourced from for the order.  ,,,
528,IFS,Default,ORDER GROUP,ORDER GROUP/DESCRIPTION,,,Attribute,Used by saved orders only.,,,
529,IFS,Default,ORDER GROUP,ORDER GROUP/OWNER ID,,,Attribute,The Adviser ID that owns the account.,,,
530,IFS,Default,ORDER GROUP,ORDER GROUP/METHOD ID,,,Attribute,,,,
531,IFS,Default,ORDER GROUP,ORDER GROUP/FIRST_EXEC,,,Attribute,,,,
532,IFS,Default,ORDER GROUP,ORDER GROUP/REDO_PERIOD_ID,,,Attribute,,,,
533,IFS,Default,ORDER GROUP,ORDER GROUP/TRIGPOS_ID,,,Attribute,,,,
534,IFS,Default,ORDER GROUP,ORDER GROUP/MIN_BAL,,,Attribute,,,,
535,IFS,Default,ORDER GROUP,ORDER GROUP/KEEP_BAL,,,Attribute,,,,
536,IFS,Default,ORDER GROUP,ORDER GROUP/RD_LOT,,,Attribute,,,,
537,IFS,Default,ORDER GROUP,ORDER GROUP/MAX_TAKE,,,Attribute,,,,
538,IFS,Default,ORDER GROUP,ORDER GROUP/LAST_EXEC,,,Attribute,This field indicates the last execution date of RIP,,,
539,IFS,Default,ORDER GROUP,ORDER GROUP/LAST UPDATED DATE,,,Attribute,This is the date that the order was last updated in Avaloq.  ,,,
540,IFS,Default,ORDER GROUP,ORDER GROUP/ORDER TYPE,,,Attribute,,,,
541,IFS,Default,ORDER GROUP,ORDER GROUP/CREATED DATE,,,Attribute,The date the order group is first saved in Avaloq.,,,
542,IFS,Default,ORDER GROUP,ORDER GROUP/REF_DOC_ID,,,Attribute,This field contains the direct debit reference,,,
543,IFS,Default,ORDER GROUP,ORDER LIST,,,Attribute,The list of orders that comprise the Order Group.  It is a subfield of the Order Group.,,,
544,IFS,Default,ORDER GROUP,ORDER LIST/ASSET TYPE,,,Attribute,This indicates the asset type of the Order,,,
545,IFS,Default,ORDER GROUP,ORDER LIST/ORDER DIRECTION,,,Attribute,The direction of the order.  It indicates if it is a buy or sell.,,,
546,IFS,Default,ORDER GROUP,ORDER LIST/ACCOUNT ID,,,Attribute,Account identifier for the order. ,,,
547,IFS,Default,ORDER GROUP,ORDER LIST/MP CONTAINER ID,,,Attribute,The container that the managed portfolio is held in.,,,
548,IFS,Default,ORDER GROUP,ORDER LIST/ASSET ID,,,Attribute,The Avaloq ID of the asset being bought/sold.,,,
549,IFS,Default,ORDER GROUP,ORDER LIST/DISTRIBUTION METHOD,,,Attribute,The distribution method for the asset (cash or reinvest),,,
550,IFS,Default,ORDER GROUP,ORDER LIST/PRICE,,,Attribute,The price for the listed securities,,,
551,IFS,Default,ORDER GROUP,ORDER LIST/EXPIRY,,,Attribute,The expiry method for the listed securities,,,
552,IFS,Default,ORDER GROUP,ORDER LIST/IPS_ID,,,Attribute,"Allowed product types are as follows: Incoming Payment, Managed Portfolio, Payment, STEX (Funds/Listed Security), Term Deposit, Transaction Wait, and Transfer Money.",,,
553,IFS,Default,ORDER GROUP,ORDER LIST/POSITION ID,,,Attribute,"In case of a Sell transaction, the list of positions available for selling are provided via the PV report (list of holdings).",,,
554,IFS,Default,ORDER GROUP,ORDER LIST/MACC_ID,,,Attribute,The amount of the asset that is to be bought/sold.,,,
555,IFS,Default,ORDER GROUP,ORDER LIST/QUANTITY,,,Attribute,The amount of the asset that is to be bought/sold.  ,,,
556,IFS,Default,ORDER GROUP,ORDER LIST/FULL INDICATOR,,,Attribute,This indicates if the order is a full redemption or not,,,
557,IFS,Default,ORDER GROUP,ORDER LIST/XFER_AMOUNT_ID,,,Attribute,"Method for transferring an amount could either be by: Trigger amount, Sell proceeds, Sell proceeds minus buys, Sell proceeds plus trigger amount, and Sell proceeds minus buys plus trigger amount.",,,
558,IFS,Default,ORDER GROUP,ORDER LIST/XFER_AMOUNT_PCT,,,Attribute,Amount to be transferred in percentage.,,,
559,IFS,Default,ORDER GROUP,ORDER LIST/ORDER ID,,,Attribute,The Order ID. Only populated if the order has been successfully submitted,,,
560,IFS,Default,ORDER GROUP,ORDER LIST/BANK_CLEAR_NR,,,Attribute,,,,
561,IFS,Default,ORDER GROUP,ORDER LIST/PAYER_ACC,,,Attribute,,,,
562,ABS Dev,XSD,BTFG$UI_POS_LIST.POS#AVL_CASH,,ABS,,Class,,,,
563,ABS Dev,XSD,BTFG$UI_POS_LIST.POS#AVL_CASH,AVL_CASH_TRA,ABS,,Attribute,Avaliable Cash,,,rep/data/pos_list/pos/pos_head_list/pos_head/avl_cash_tra
564,ABS Dev,XSD,BTFG$UI_POS_LIST.POS#AVL_CASH,AVL_CASH,ABS,,Attribute,Total Cash Balance,,,rep/data/pos_list/pos/pos_head_list/pos_head/avl_cash
