Source System Name,Source Instance Name,Source Entity Name,Source Attribute Name,Target System Name,Target Instance Name,Target Entity Name,Target Attribute Name,Attribute Description,Business Rule,Transformation_Mapping rule,Comments,Mapping Name,Action,Last_Update_Date,Modified_By
ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,OE_OPEN_DATE,ABS,LDM,ORGANIZATIONAL ENTITY,ORGANISATIONAL ENTITY OPEN DATE,LDM:btfg$code_ldm_obj_fld.person_oe$oe_open_date,Direct,person_oe$oe_open_date,OE Intermediary Structure,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,OE_PARENT_EBI_KEY,ABS,LDM,ORGANIZATIONAL ENTITY,ORGANISATIONAL ENTITY PARENT EBI KEY,LDM:btfg$code_ldm_obj_fld.person_oe$oe_parent_ebi_key,Direct,person_oe$oe_parent_ebi_key,OE Intermediary Structure,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,OE_PARENT_ID,ABS,LDM,ORGANIZATIONAL ENTITY,ORGANISATIONAL ENTITY PARENT ID,LDM:btfg$code_ldm_obj_fld.person_oe$oe_parent,Direct,person_oe$oe_parent,OE Intermediary Structure,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,OE_PARENT_KEY,ABS,LDM,ORGANIZATIONAL ENTITY,ORGANISATIONAL ENTITY PARENT KEY,LDM:btfg$code_ldm_obj_fld.person_oe$oe_parent_key,Direct,person_oe$oe_parent_key,OE Intermediary Structure,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,OE_PERS_GCM_ID,ABS,LDM,ORGANIZATIONAL ENTITY,OWNER GCM ID,LDM:btfg$code_ldm_obj_fld.person_oe$oe_pers_gcm,Direct,person_oe$oe_pers_gcm,OE Intermediary Structure,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,OE_PERS_LEG_ID,ABS,LDM,ORGANIZATIONAL ENTITY,OWNER,LDM:btfg$code_ldm_obj_fld.person_oe$oe_pers_leg,Direct,person_oe$oe_pers_leg,OE Intermediary Structure,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,OE_PERS_LEG_KEY,ABS,LDM,ORGANIZATIONAL ENTITY,OWNER KEY,LDM:btfg$code_ldm_obj_fld.person_oe$oe_pers_leg_key,Direct,person_oe$oe_pers_leg_key,OE Intermediary Structure,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,OE_PERS_LEG_NAME,ABS,LDM,ORGANIZATIONAL ENTITY,OWNER NAME,LDM:btfg$code_ldm_obj_fld.person_oe$oe_pers_leg_name,Direct,person_oe$oe_pers_leg_name,OE Intermediary Structure,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,OE_PERS_OPEN_DATE,ABS,LDM,ORGANIZATIONAL ENTITY,OWNER OPEN DATE,LDM:btfg$code_ldm_obj_fld.person_oe$oe_pers_open_date,Direct,person_oe$oe_pers_open_date,OE Intermediary Structure,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,OE_TYPE_ID,ABS,LDM,ORGANIZATIONAL ENTITY,ORGANISATIONAL ENTITY TYPE ID,LDM:btfg$code_ldm_obj_fld.person_oe$oe_type,Direct,person_oe$oe_type,OE Intermediary Structure,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,PRTY_CHAN_ID,ABS,LDM,ORGANIZATIONAL ENTITY,PARTY CHANNEL ID,LDM:btfg$code_ldm_obj_fld.person_oe$prty_chan,Direct,person_oe$prty_chan,OE Intermediary Structure,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,ADM_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,ADV_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,ASSET_XFER_IN,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,ASSET_XFER_OUT,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,BP_ID,ABS,LDM,ACCOUNT,-,LDM:btfg$code_ldm_obj.acc,Direct,acc,UI Portfolio Movement,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,CASH_INC,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,DEC_PORTF_VAL,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,DEPOT,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,EOP_CURR_VAL_REF,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,ESTAB_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,EXPNS,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,FRN_WTAX,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,IMF_INC,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,INCOME,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,INC_PORTF_VAL,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,INVST_MNGT_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,ITE_INC,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,LICENSEE_ADV_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,MKT_MVT,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,MP_INC,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,ONE_OFF_ADV_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,ONG_ADV_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,OTH_INC,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,PAY,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,PERIOD_EOP,ABS,LDM,OBJECT,NOT APPLICABLE,LDM:btfg$code_ldm_obj_fld.obj$na,Direct,obj$na,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,PERIOD_SOP,ABS,LDM,OBJECT,NOT APPLICABLE,LDM:btfg$code_ldm_obj_fld.obj$na,Direct,obj$na,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,PORTF_MNGT_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,SA_TAX,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,SMSF_ACT_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,SMSF_ADM_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,SMSF_AUD_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,SMSF_ESTAB_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,SMSF_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,SOP_CURR_VAL_REF,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,STAMP_DUTY,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,TAX,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,TD_INC,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,TFN_WTAX,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT.XSD,TMP_INC,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Portfolio Movement|New Interface Name: BTFG$UI_PERF_CF_LIST.BP#PORTF_MVT,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.BP#TOP_BP.XSD,BP_ID,ABS,LDM,ACCOUNT,-,LDM:btfg$code_ldm_obj.acc,Direct,acc,UI Adviser Dashboard,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.BP#TOP_BP_CASH.XSD,BP_ID,ABS,LDM,ACCOUNT,-,LDM:btfg$code_ldm_obj.acc,Direct,acc,Old Interface Name: UI Adviser dashboard|New Interface Name: BTFG$UI_PERF_LIST.BP#TOP_BP_CASH,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.CONT_ASSETGRP_POS.XSD,ASSET_GRP_ID,ABS,LDM,ASSET,ASSET GROUP,LDM:btfg$code_ldm_obj_fld.asset$asset_grp,Direct,asset$asset_grp,UI Portfolio Performance by Cont,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.CONT_ASSETGRP_POS.XSD,ASSET_ID,ABS,LDM,ASSET,-,LDM:btfg$code_ldm_obj.asset,Direct,asset,Old Interface Name: UI Portfolio Performance by Cont|New Interface Name: BTFG$UI_PERF_LIST.CONT_ASSETGRP_POS,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.CONT_ASSETGRP_POS.XSD,CONT,ABS,LDM,CONTAINER,-,LDM:btfg$code_ldm_obj.cont,Direct,cont,Old Interface Name: UI Portfolio Performance by Cont|New Interface Name: BTFG$UI_PERF_LIST.CONT_ASSETGRP_POS,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.CONT_ASSETGRP_POS.XSD,CONT_TYPE_ID,ABS,LDM,CONTAINER,CONTAINER TYPE,LDM:btfg$code_ldm_obj_fld.cont$cont_type,Direct,cont$cont_type,UI Portfolio Performance by Cont,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.CONT_ASSETGRP_POS.XSD,POS_NAME,ABS,LDM,POSITION,POSITION NAME,LDM:btfg$code_ldm_obj_fld.pos$pos_name,Direct,pos$pos_name,UI Portfolio Performance by Cont,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.CONT_ASSETGRP_POS.XSD,REF_OBJ_ID,ABS,LDM,OBJECT,-,LDM:btfg$code_ldm_obj.obj,Direct,obj,Old Interface Name: UI Portfolio Performance by Cont|New Interface Name: BTFG$UI_PERF_LIST.CONT_ASSETGRP_POS,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,ACTIVE_ROR,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,BMRK_ID,ABS,LDM,BENCHMARK,-,LDM:btfg$code_ldm_obj.bmrk,Direct,bmrk,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,BMRK_ROR,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,CALC_PERF_FROM,ABS,LDM,ACCOUNT,EARLIEST CONTAINER PERFORMANCE DATE FOR BP,LDM:btfg$code_ldm_obj_fld.acc$bp_cont_min_perf_date,Direct,acc$bp_cont_min_perf_date,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,EOP_AFT_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,EOP_BFR_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,EXPENSES,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,INCOME,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,INFLOWS,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,MKT_MVT,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,NET_GAIN_LOSS,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,OBJ_ID,ABS,LDM,OBJECT,-,LDM:btfg$code_ldm_obj.obj,Direct,obj,UI Client Account Performance Summary by Period,,,2016-08-30,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,OTH_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,OUTFLOWS,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,PERF_AFT_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,PERF_BFR_FEE,ABS,LDM,OBJECT,CALCULATION,LDM:btfg$code_ldm_obj_fld.obj$calc,Direct,obj$calc,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
ABS Dev,XSD,BTFG$UI_PERF_LIST.PRD_PRDDET#BP.XSD,PERIOD_EOP,ABS,LDM,OBJECT,DATE,LDM:btfg$code_ldm_obj_fld.obj$date,Direct,obj$date,Old Interface Name: UI Client Account Performance Summary by Period|New Interface Name: BTFG$UI_PERF_LIST.PRD_PRDDET#BP,,,2016-10-05,MDRPhase2
